---
title: "Non-CRAN repositories to install packages from"
date:  2022-08-03
notes: ""




---
# This text must be in line 10 -----------------------------------------------
package                 | install_from  | details                                | ignore | notes
addin.tools             | repos         | https://mokymai.github.io/download/    | FALSE  | github::GegznaV/addin.tools
addins.rmd              | repos         | https://mokymai.github.io/download/    | FALSE  | github::GegznaV/addins.rmd
addins.rs               | repos         | https://mokymai.github.io/download/    | FALSE  | github::GegznaV/addins.rs
adventr                 | github        | profandyfield/adventr                  | TRUE   | -
backup.tools            | repos         | https://mokymai.github.io/download/    | FALSE  | github::GegznaV/backup.tools
bio                     | repos         | https://mokymai.github.io/download/    | FALSE  | github::mokymai/bio
car                     | repos         | http://R-Forge.R-project.org           | TRUE   | dependencies = TRUE
citr                    | github        | crsh/citr                              | FALSE  | -
emo                     | github        | hadley/emo                             | FALSE  | -
gghighlight             | github        | yutannihilation/gghighlight            | TRUE   | -
ggmosaic                | github        | haleyjeppson/ggmosaic                  | TRUE   | -
ggpie                   | github        | rkabacoff/ggpie                        | FALSE  | -
ggtext                  | github        | clauswilke/ggtext                      | TRUE   | -
gridtext                | github        | clauswilke/gridtext                    | TRUE   | -
hunspell                | github        | ropensci/hunspell                      | FALSE  | -
icon                    | github        | ropenscilabs/icon                      | TRUE   | -
icons                   | github        | mitchelloharawild/icons                | FALSE  | -
LanguageToolR           | github        | nevrome/LanguageToolR                  | FALSE  | -
latex2exp               | github        | stefano-meschiari/latex2exp            | TRUE   | -
pander                  | github        | Rapporter/pander                       | TRUE   | -
practicalgg             | github        | wilkelab/practicalgg                   | FALSE  | -
qqplotr                 | github        | aloy/qqplotr                           | TRUE   | -
RcmdrPlugin.biostat     | repos         | https://mokymai.github.io/download/    | FALSE  | github::GegznaV/RcmdrPlugin.biostat
RcmdrPlugin.EZR.as.menu | github        | GegznaV/RcmdrPlugin.EZR@ezr_as_menu    | FALSE  | -
regexplain              | github        | gadenbuie/regexplain                   | FALSE  | -
report                  | github        | easystats/report                       | FALSE  | -
rsam                    | github        | yonicd/rsam                            | FALSE  | -
snippets                | repos         | https://mokymai.github.io/download/    | FALSE  | github::GegznaV/snippets
tidycells               | github        | r-rudra/tidycells                      | FALSE  | -
todor                   | github        | dokato/todor                           | TRUE   | -
ViewPipeSteps           | github        | daranzolin/ViewPipeSteps               | FALSE  | -
wellspell.addin         | github        | nevrome/wellspell.addin                | FALSE  | -
ymlthis                 | github        | r-lib/ymlthis                          | TRUE   | -


