# Paketų diegimo vieta

package                 | install_from  | details                                | ignore | notes
addin.tools             | github        | GegznaV/addin.tools                    | FALSE  | -
addins.rmd              | github        | GegznaV/addins.rmd                     | FALSE  | -
addins.rs               | github        | GegznaV/addins.rs                      | FALSE  | -
RcmdrPlugin.biostat     | github        | GegznaV/RcmdrPlugin.biostat            | FALSE  | -
RcmdrPlugin.EZR.as.menu | github        | GegznaV/RcmdrPlugin.EZR@ezr_as_menu    | FALSE  | -
pander                  | github        | Rapporter/pander                       | FALSE  | -
latex2exp               | github        | stefano-meschiari/latex2exp            | FALSE  | -
LanguageToolR           | github        | nevrome/LanguageToolR                  | FALSE  | -
wellspell.addin         | github        | nevrome/wellspell.addin                | FALSE  | -
ViewPipeSteps           | github        | daranzolin/ViewPipeSteps               | FALSE  | -
report                  | github        | easystats/report                       | FALSE  | -
regexplain              | github        | gadenbuie/regexplain                   | FALSE  | -
adventr                 | github        | profandyfield/adventr                  | FALSE  | -
emo                     | github        | hadley/emo                             | FALSE  | -
gghighlight             | github        | yutannihilation/gghighlight            | TRUE   | -
ggtext                  | github        | clauswilke/ggtext                      | FALSE  | -
icon                    | github        | ropenscilabs/icon                      | FALSE  | -
ggpie                   | github        | rkabacoff/ggpie                        | FALSE  | -
